orden,ip,num_rep,pais,region,ciudad,latitud,longitud
1,192.168.100.1,0.12804698944091797,,,,0,0
1,192.168.100.1,0.0654449462890625,,,,0,0
1,192.168.100.1,0.06501412391662598,,,,0,0
1,192.168.100.1,0.06030607223510742,,,,0,0
1,192.168.100.1,0.073822021484375,,,,0,0
2,186.182.224.1,0.06611514091491699,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.07883810997009277,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.07351398468017578,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.03279900550842285,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.05294609069824219,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
3,10.2.14.1,0.06761980056762695,,,,0,0
3,10.2.14.1,0.04669189453125,,,,0,0
3,10.2.14.1,0.06619596481323242,,,,0,0
3,10.2.14.1,0.07242202758789062,,,,0,0
3,10.2.14.1,0.061737060546875,,,,0,0
4,10.2.186.185,0.0850381851196289,,,,0,0
4,10.2.186.185,0.06930112838745117,,,,0,0
4,10.2.186.185,0.05807805061340332,,,,0,0
4,10.2.186.185,0.06031012535095215,,,,0,0
4,10.2.186.185,0.05465388298034668,,,,0,0
6,131.100.186.98,0.07589888572692871,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.06793713569641113,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.08371806144714355,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.07541704177856445,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.07132983207702637,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
7,4.15.159.233,0.1840059757232666,United States,New York,New York,40.7168,-73.9861
7,4.15.159.233,0.21403193473815918,United States,New York,New York,40.7168,-73.9861
7,4.15.159.233,0.19938397407531738,United States,New York,New York,40.7168,-73.9861
7,4.15.159.233,0.19664502143859863,United States,New York,New York,40.7168,-73.9861
7,4.15.159.233,0.18329095840454102,United States,New York,New York,40.7168,-73.9861
9,212.187.139.166,0.27875590324401855,United Kingdom,,,51.4964,-0.1224
9,212.187.139.166,0.3004610538482666,United Kingdom,,,51.4964,-0.1224
9,212.187.139.166,0.2725248336791992,United Kingdom,,,51.4964,-0.1224
9,212.187.139.166,0.2983510494232178,United Kingdom,,,51.4964,-0.1224
9,212.187.139.166,0.28336405754089355,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.2910881042480469,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.29329419136047363,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.29718518257141113,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.30295395851135254,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.3055260181427002,United Kingdom,,,51.4964,-0.1224
11,146.97.33.18,0.30321311950683594,United Kingdom,,,51.4964,-0.1224
11,146.97.33.18,0.2977628707885742,United Kingdom,,,51.4964,-0.1224
11,146.97.33.18,0.26853179931640625,United Kingdom,,,51.4964,-0.1224
