orden,ip,num_rep,pais,region,ciudad,latitud,longitud
1,192.168.100.1,0.11596894264221191,,,,0,0
1,192.168.100.1,0.08637881278991699,,,,0,0
1,192.168.100.1,0.08279991149902344,,,,0,0
1,192.168.100.1,0.07687807083129883,,,,0,0
1,192.168.100.1,0.08876609802246094,,,,0,0
2,186.182.224.1,0.07887911796569824,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.07003998756408691,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.08557295799255371,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.09495902061462402,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.07310605049133301,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
3,10.2.14.1,0.07160091400146484,,,,0,0
3,10.2.14.1,0.0843498706817627,,,,0,0
3,10.2.14.1,0.09190106391906738,,,,0,0
3,10.2.14.1,0.07753205299377441,,,,0,0
3,10.2.14.1,0.05828690528869629,,,,0,0
4,10.2.186.185,0.06162595748901367,,,,0,0
4,10.2.186.185,0.09167599678039551,,,,0,0
4,10.2.186.185,0.07076597213745117,,,,0,0
4,10.2.186.185,0.06662893295288086,,,,0,0
4,10.2.186.185,0.08336806297302246,,,,0,0
6,131.100.186.98,0.07309412956237793,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.05969381332397461,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.09979796409606934,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.06072402000427246,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.06466197967529297,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
7,4.15.158.153,0.20951104164123535,United States,New York,New York,40.7168,-73.9861
7,4.15.158.153,0.1900029182434082,United States,New York,New York,40.7168,-73.9861
7,4.15.158.153,0.22766590118408203,United States,New York,New York,40.7168,-73.9861
7,4.15.158.153,0.19733619689941406,United States,New York,New York,40.7168,-73.9861
7,4.15.158.153,0.18506717681884766,United States,New York,New York,40.7168,-73.9861
8,154.54.10.57,0.21601605415344238,United States,,,37.751,-97.822
8,154.54.10.57,0.19780206680297852,United States,,,37.751,-97.822
8,154.54.10.57,0.2070331573486328,United States,,,37.751,-97.822
8,154.54.10.57,0.20702791213989258,United States,,,37.751,-97.822
8,154.54.10.57,0.21524596214294434,United States,,,37.751,-97.822
9,154.54.80.41,0.20715093612670898,United States,,,37.751,-97.822
9,154.54.80.41,0.2150430679321289,United States,,,37.751,-97.822
9,154.54.80.41,0.21833395957946777,United States,,,37.751,-97.822
9,154.54.80.41,0.22719311714172363,United States,,,37.751,-97.822
9,154.54.80.41,0.2147829532623291,United States,,,37.751,-97.822
10,154.54.24.193,0.21999311447143555,United States,,,37.751,-97.822
10,154.54.24.193,0.22145581245422363,United States,,,37.751,-97.822
10,154.54.24.193,0.20740699768066406,United States,,,37.751,-97.822
10,154.54.24.193,0.20256614685058594,United States,,,37.751,-97.822
10,154.54.24.193,0.20389294624328613,United States,,,37.751,-97.822
11,154.54.7.157,0.23184704780578613,United States,,,37.751,-97.822
11,154.54.7.157,0.2207489013671875,United States,,,37.751,-97.822
11,154.54.7.157,0.21380281448364258,United States,,,37.751,-97.822
11,154.54.7.157,0.21316814422607422,United States,,,37.751,-97.822
11,154.54.7.157,0.20256900787353516,United States,,,37.751,-97.822
12,154.54.40.105,0.21845698356628418,United States,,,37.751,-97.822
12,154.54.40.105,0.21464896202087402,United States,,,37.751,-97.822
12,154.54.40.105,0.2232379913330078,United States,,,37.751,-97.822
12,154.54.40.105,0.22626805305480957,United States,,,37.751,-97.822
12,154.54.40.105,0.198228120803833,United States,,,37.751,-97.822
13,154.54.30.186,0.2952301502227783,United States,,,37.751,-97.822
13,154.54.30.186,0.2889690399169922,United States,,,37.751,-97.822
13,154.54.30.186,0.27364492416381836,United States,,,37.751,-97.822
13,154.54.30.186,0.29180312156677246,United States,,,37.751,-97.822
13,154.54.30.186,0.2898280620574951,United States,,,37.751,-97.822
14,130.117.50.74,0.3530569076538086,,,,47,8
14,130.117.50.74,0.29955101013183594,,,,47,8
14,130.117.50.74,0.32753515243530273,,,,47,8
14,130.117.50.74,0.32071590423583984,,,,47,8
14,130.117.50.74,0.305217981338501,,,,47,8
15,154.54.59.10,0.30140185356140137,United States,,,37.751,-97.822
15,154.54.59.10,0.3033750057220459,United States,,,37.751,-97.822
15,154.54.59.10,0.2685360908508301,United States,,,37.751,-97.822
15,154.54.59.10,0.30816006660461426,United States,,,37.751,-97.822
