orden,ip,num_rep,pais,region,ciudad,latitud,longitud
1,192.168.100.1,0.1119837760925293,,,,0,0
1,192.168.100.1,0.021197080612182617,,,,0,0
1,192.168.100.1,0.0720829963684082,,,,0,0
1,192.168.100.1,0.047714948654174805,,,,0,0
1,192.168.100.1,0.0583498477935791,,,,0,0
2,186.182.224.1,0.058522939682006836,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.05461287498474121,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.05669879913330078,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.057118892669677734,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
2,186.182.224.1,0.05291104316711426,Argentina,Buenos Aires,Ciudadela,-34.6333,-58.5333
3,10.2.14.1,0.07281303405761719,,,,0,0
3,10.2.14.1,0.05905008316040039,,,,0,0
3,10.2.14.1,0.05113697052001953,,,,0,0
3,10.2.14.1,0.06270098686218262,,,,0,0
3,10.2.14.1,0.07144808769226074,,,,0,0
4,10.2.186.185,0.06386113166809082,,,,0,0
4,10.2.186.185,0.06459808349609375,,,,0,0
4,10.2.186.185,0.06191396713256836,,,,0,0
4,10.2.186.185,0.06006503105163574,,,,0,0
4,10.2.186.185,0.07395100593566895,,,,0,0
6,131.100.186.98,0.07069087028503418,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.07808518409729004,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.10209202766418457,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.06508708000183105,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
6,131.100.186.98,0.06359601020812988,Paraguay,Asuncion,Asunción,-25.2939,-57.6111
7,4.15.158.153,0.197282075881958,United States,New York,New York,40.7168,-73.9861
7,4.15.158.153,0.19907593727111816,United States,New York,New York,40.7168,-73.9861
7,4.15.158.153,0.18871092796325684,United States,New York,New York,40.7168,-73.9861
7,4.15.158.153,0.19490289688110352,United States,New York,New York,40.7168,-73.9861
7,4.15.158.153,0.19547009468078613,United States,New York,New York,40.7168,-73.9861
9,212.187.139.166,0.2832670211791992,United Kingdom,,,51.4964,-0.1224
9,212.187.139.166,0.2876591682434082,United Kingdom,,,51.4964,-0.1224
9,212.187.139.166,0.2870910167694092,United Kingdom,,,51.4964,-0.1224
9,212.187.139.166,0.2952899932861328,United Kingdom,,,51.4964,-0.1224
9,212.187.139.166,0.27811479568481445,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.2851250171661377,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.29459214210510254,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.28713202476501465,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.2907218933105469,United Kingdom,,,51.4964,-0.1224
10,146.97.35.197,0.2826240062713623,United Kingdom,,,51.4964,-0.1224
11,146.97.33.2,0.28244996070861816,United Kingdom,,,51.4964,-0.1224
11,146.97.33.2,0.29100704193115234,United Kingdom,,,51.4964,-0.1224
11,146.97.33.2,0.27719593048095703,United Kingdom,,,51.4964,-0.1224
11,146.97.33.2,0.29105305671691895,United Kingdom,,,51.4964,-0.1224
11,146.97.33.2,0.2915961742401123,United Kingdom,,,51.4964,-0.1224
12,146.97.37.194,0.29166293144226074,United Kingdom,,,51.4964,-0.1224
12,146.97.37.194,0.29317593574523926,United Kingdom,,,51.4964,-0.1224
12,146.97.37.194,0.2967240810394287,United Kingdom,,,51.4964,-0.1224
12,146.97.37.194,0.3036491870880127,United Kingdom,,,51.4964,-0.1224
12,146.97.37.194,0.2932701110839844,United Kingdom,,,51.4964,-0.1224
13,193.63.108.94,0.2836151123046875,United Kingdom,,,51.4964,-0.1224
13,193.63.108.94,0.2827110290527344,United Kingdom,,,51.4964,-0.1224
13,193.63.108.94,0.2712128162384033,United Kingdom,,,51.4964,-0.1224
13,193.63.108.94,0.26836395263671875,United Kingdom,,,51.4964,-0.1224
13,193.63.108.94,0.2884049415588379,United Kingdom,,,51.4964,-0.1224
14,193.63.108.98,0.2910439968109131,United Kingdom,,,51.4964,-0.1224
14,193.63.108.98,0.3029508590698242,United Kingdom,,,51.4964,-0.1224
14,193.63.108.98,0.29274892807006836,United Kingdom,,,51.4964,-0.1224
14,193.63.108.98,0.276386022567749,United Kingdom,,,51.4964,-0.1224
14,193.63.108.98,0.30466485023498535,United Kingdom,,,51.4964,-0.1224
15,193.63.109.90,0.28348493576049805,United Kingdom,,,51.4964,-0.1224
15,193.63.109.90,0.4825890064239502,United Kingdom,,,51.4964,-0.1224
15,193.63.109.90,0.2803668975830078,United Kingdom,,,51.4964,-0.1224
15,193.63.109.90,0.28660106658935547,United Kingdom,,,51.4964,-0.1224
15,193.63.109.90,0.2947959899902344,United Kingdom,,,51.4964,-0.1224
17,192.76.32.66,0.5949969291687012,United Kingdom,England,Oxford,51.75,-1.25
17,192.76.32.66,0.29960203170776367,United Kingdom,England,Oxford,51.75,-1.25
17,192.76.32.66,0.288301944732666,United Kingdom,England,Oxford,51.75,-1.25
17,192.76.32.66,0.31308889389038086,United Kingdom,England,Oxford,51.75,-1.25
17,192.76.32.66,0.2860400676727295,United Kingdom,England,Oxford,51.75,-1.25
18,129.67.242.155,0.27957797050476074,United Kingdom,England,Oxford,51.75,-1.25
18,129.67.242.155,0.2943439483642578,United Kingdom,England,Oxford,51.75,-1.25
18,129.67.242.155,0.298846960067749,United Kingdom,England,Oxford,51.75,-1.25
18,129.67.242.155,0.2923588752746582,United Kingdom,England,Oxford,51.75,-1.25
18,129.67.242.155,0.29122304916381836,United Kingdom,England,Oxford,51.75,-1.25
19,129.67.242.154,0.2993321418762207,United Kingdom,England,Oxford,51.75,-1.25
19,129.67.242.154,0.27594685554504395,United Kingdom,England,Oxford,51.75,-1.25
19,129.67.242.154,0.2908928394317627,United Kingdom,England,Oxford,51.75,-1.25
19,129.67.242.154,0.29123997688293457,United Kingdom,England,Oxford,51.75,-1.25
19,129.67.242.154,0.3071470260620117,United Kingdom,England,Oxford,51.75,-1.25
20,129.67.242.155,0.2998080253601074,United Kingdom,England,Oxford,51.75,-1.25
20,129.67.242.155,0.29456496238708496,United Kingdom,England,Oxford,51.75,-1.25
20,129.67.242.155,0.27517199516296387,United Kingdom,England,Oxford,51.75,-1.25
20,129.67.242.155,0.2779519557952881,United Kingdom,England,Oxford,51.75,-1.25
20,129.67.242.155,0.29947590827941895,United Kingdom,England,Oxford,51.75,-1.25
