orden,ip,num_rep,pais,region,ciudad,latitud,longitud
1,192.168.1.1,0.11696600914001465,,,,0,0
1,192.168.1.1,0.07625699043273926,,,,0,0
1,192.168.1.1,0.07639598846435547,,,,0,0
1,192.168.1.1,0.057251930236816406,,,,0,0
1,192.168.1.1,0.07786417007446289,,,,0,0
2,192.168.125.1,0.09248995780944824,,,,0,0
2,192.168.125.1,0.04646897315979004,,,,0,0
2,192.168.125.1,0.08660387992858887,,,,0,0
2,192.168.125.1,0.07301497459411621,,,,0,0
2,192.168.125.1,0.08291482925415039,,,,0,0
3,191.102.22.1,0.10601806640625,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
3,191.102.22.1,0.07194185256958008,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
3,191.102.22.1,0.06901693344116211,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
3,191.102.22.1,0.07391905784606934,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
3,191.102.22.1,0.08931398391723633,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
4,190.99.115.5,0.07967782020568848,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
4,190.99.115.5,0.08187508583068848,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
4,190.99.115.5,0.06233406066894531,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
4,190.99.115.5,0.044995784759521484,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
4,190.99.115.5,0.09313297271728516,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
5,190.111.217.249,0.07341408729553223,Argentina,Entre Rios,Federal,-30.95,-58.8
5,190.111.217.249,0.08046913146972656,Argentina,Entre Rios,Federal,-30.95,-58.8
5,190.111.217.249,0.09302496910095215,Argentina,Entre Rios,Federal,-30.95,-58.8
5,190.111.217.249,0.09678888320922852,Argentina,Entre Rios,Federal,-30.95,-58.8
5,190.111.217.249,0.08403587341308594,Argentina,Entre Rios,Federal,-30.95,-58.8
6,195.22.220.113,0.057125091552734375,Italy,,,43.1479,12.1097
6,195.22.220.113,0.04163217544555664,Italy,,,43.1479,12.1097
6,195.22.220.113,0.07621192932128906,Italy,,,43.1479,12.1097
6,195.22.220.113,0.0847311019897461,Italy,,,43.1479,12.1097
6,195.22.220.113,0.0859689712524414,Italy,,,43.1479,12.1097
7,89.221.41.175,0.21817398071289062,Italy,,,43.1479,12.1097
7,89.221.41.175,0.21845102310180664,Italy,,,43.1479,12.1097
7,89.221.41.175,0.23022890090942383,Italy,,,43.1479,12.1097
7,89.221.41.175,0.20918703079223633,Italy,,,43.1479,12.1097
7,89.221.41.175,0.21135902404785156,Italy,,,43.1479,12.1097
8,80.239.193.161,0.21350383758544922,,,,47,8
8,80.239.193.161,0.2225048542022705,,,,47,8
8,80.239.193.161,0.21732091903686523,,,,47,8
8,80.239.193.161,0.2041161060333252,,,,47,8
8,80.239.193.161,0.21210384368896484,,,,47,8
9,62.115.124.44,0.23735594749450684,,,,47,8
9,62.115.124.44,0.22651910781860352,,,,47,8
9,62.115.124.44,0.21607303619384766,,,,47,8
9,62.115.124.44,0.2255408763885498,,,,47,8
9,62.115.124.44,0.22069001197814941,,,,47,8
10,62.115.125.84,0.2479538917541504,,,,47,8
10,62.115.125.84,0.2542757987976074,,,,47,8
10,62.115.125.84,0.24761009216308594,,,,47,8
10,62.115.125.84,0.23302888870239258,,,,47,8
10,62.115.125.84,0.23354101181030273,,,,47,8
11,62.115.123.222,0.24814987182617188,,,,47,8
11,62.115.123.222,0.28984904289245605,,,,47,8
11,62.115.123.222,0.2352161407470703,,,,47,8
11,62.115.123.222,0.24020600318908691,,,,47,8
11,62.115.123.222,0.2453749179840088,,,,47,8
12,80.239.133.34,0.2637600898742676,,,,47,8
12,80.239.133.34,0.25324487686157227,,,,47,8
12,80.239.133.34,0.2847261428833008,,,,47,8
12,80.239.133.34,0.27118802070617676,,,,47,8
12,80.239.133.34,0.25826096534729004,,,,47,8
13,207.38.95.6,0.27573299407958984,United States,Missouri,St Louis,38.6312,-90.1922
13,207.38.95.6,0.36140894889831543,United States,Missouri,St Louis,38.6312,-90.1922
13,207.38.95.6,0.2707688808441162,United States,Missouri,St Louis,38.6312,-90.1922
13,207.38.95.6,0.39975500106811523,United States,Missouri,St Louis,38.6312,-90.1922
13,207.38.95.6,0.24830389022827148,United States,Missouri,St Louis,38.6312,-90.1922
14,207.38.80.38,0.31760096549987793,United States,Missouri,St Louis,38.6312,-90.1922
14,207.38.80.38,0.2906920909881592,United States,Missouri,St Louis,38.6312,-90.1922
14,207.38.80.38,0.2475872039794922,United States,Missouri,St Louis,38.6312,-90.1922
14,207.38.80.38,0.2994191646575928,United States,Missouri,St Louis,38.6312,-90.1922
14,207.38.80.38,0.2649679183959961,United States,Missouri,St Louis,38.6312,-90.1922
15,50.30.37.146,0.25333714485168457,United States,Missouri,St Louis,38.6312,-90.1922
15,50.30.37.146,0.2881629467010498,United States,Missouri,St Louis,38.6312,-90.1922
15,50.30.37.146,0.25236082077026367,United States,Missouri,St Louis,38.6312,-90.1922
15,50.30.37.146,0.26232004165649414,United States,Missouri,St Louis,38.6312,-90.1922
15,50.30.37.146,0.2621469497680664,United States,Missouri,St Louis,38.6312,-90.1922
