ttl,ip,rtt,pais,region,ciudad,latitud,longitud
1,192.168.1.1,0.15610289573669434,,,,0,0
1,192.168.1.1,0.0967550277709961,,,,0,0
1,192.168.1.1,0.07464098930358887,,,,0,0
1,192.168.1.1,0.072296142578125,,,,0,0
1,192.168.1.1,0.05535602569580078,,,,0,0
1,192.168.1.1,0.06487607955932617,,,,0,0
1,192.168.1.1,0.0841970443725586,,,,0,0
1,192.168.1.1,0.06681704521179199,,,,0,0
1,192.168.1.1,0.07534193992614746,,,,0,0
1,192.168.1.1,0.07691287994384766,,,,0,0
1,192.168.1.1,0.08829188346862793,,,,0,0
1,192.168.1.1,0.07681798934936523,,,,0,0
1,192.168.1.1,0.06630206108093262,,,,0,0
1,192.168.1.1,0.07994294166564941,,,,0,0
1,192.168.1.1,0.07299280166625977,,,,0,0
1,192.168.1.1,0.1006779670715332,,,,0,0
1,192.168.1.1,0.0721731185913086,,,,0,0
1,192.168.1.1,0.055719852447509766,,,,0,0
1,192.168.1.1,0.11176490783691406,,,,0,0
1,192.168.1.1,0.0687718391418457,,,,0,0
1,192.168.1.1,0.09622597694396973,,,,0,0
1,192.168.1.1,0.08162689208984375,,,,0,0
1,192.168.1.1,0.07840108871459961,,,,0,0
1,192.168.1.1,0.0897669792175293,,,,0,0
1,192.168.1.1,0.07839679718017578,,,,0,0
1,192.168.1.1,0.06609010696411133,,,,0,0
1,192.168.1.1,0.10927510261535645,,,,0,0
1,192.168.1.1,0.09339213371276855,,,,0,0
1,192.168.1.1,0.07422518730163574,,,,0,0
1,192.168.1.1,0.09859013557434082,,,,0,0
1,192.168.1.1,0.09535598754882812,,,,0,0
1,192.168.1.1,0.08256220817565918,,,,0,0
1,192.168.1.1,0.09291887283325195,,,,0,0
1,192.168.1.1,0.10895013809204102,,,,0,0
1,192.168.1.1,0.08933496475219727,,,,0,0
1,192.168.1.1,0.09703707695007324,,,,0,0
1,192.168.1.1,0.10786080360412598,,,,0,0
1,192.168.1.1,0.09952807426452637,,,,0,0
1,192.168.1.1,0.08218908309936523,,,,0,0
1,192.168.1.1,0.10509204864501953,,,,0,0
1,192.168.1.1,0.08127117156982422,,,,0,0
1,192.168.1.1,0.08964896202087402,,,,0,0
1,192.168.1.1,0.07745003700256348,,,,0,0
1,192.168.1.1,0.08809018135070801,,,,0,0
1,192.168.1.1,0.1382758617401123,,,,0,0
1,192.168.1.1,0.10865497589111328,,,,0,0
