orden,ip,num_rep,pais,region,ciudad,latitud,longitud
1,192.168.1.1,0.12663698196411133,,,,0,0
1,192.168.1.1,0.0618588924407959,,,,0,0
1,192.168.1.1,0.06874513626098633,,,,0,0
1,192.168.1.1,0.07004690170288086,,,,0,0
1,192.168.1.1,0.06072402000427246,,,,0,0
2,192.168.125.1,0.07740497589111328,,,,0,0
2,192.168.125.1,0.07193708419799805,,,,0,0
2,192.168.125.1,0.07696294784545898,,,,0,0
2,192.168.125.1,0.08915305137634277,,,,0,0
2,192.168.125.1,0.0529780387878418,,,,0,0
3,191.102.22.1,0.08227801322937012,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
3,191.102.22.1,0.18313980102539062,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
3,191.102.22.1,0.08251404762268066,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
3,191.102.22.1,0.07666611671447754,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
3,191.102.22.1,0.0683739185333252,Argentina,Buenos Aires,Moron,-34.6425,-58.6181
4,190.99.115.5,0.08918094635009766,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
4,190.99.115.5,0.06891012191772461,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
4,190.99.115.5,0.07726097106933594,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
4,190.99.115.5,0.06763601303100586,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
4,190.99.115.5,0.07806110382080078,Argentina,Santa Fe,Rosario,-32.9288,-60.6861
5,190.111.217.249,0.07645702362060547,Argentina,Entre Rios,Federal,-30.95,-58.8
5,190.111.217.249,0.09243106842041016,Argentina,Entre Rios,Federal,-30.95,-58.8
5,190.111.217.249,0.12917494773864746,Argentina,Entre Rios,Federal,-30.95,-58.8
5,190.111.217.249,0.06424713134765625,Argentina,Entre Rios,Federal,-30.95,-58.8
5,190.111.217.249,0.10082793235778809,Argentina,Entre Rios,Federal,-30.95,-58.8
6,195.22.220.113,0.06941390037536621,Italy,,,43.1479,12.1097
